repo_key,repo_name,category,origin_url,stars,forks,archived,license,last_commit_at,days_since_last_commit,stale_bucket,findings_total,native_findings,collection_scale_findings,cluster_issue_instances,multi_signal_issue_instances,cross_tool_issue_instances,instruction_surface_files,skill_files,plugin_manifest_files,mcp_manifest_files,surface_diversity,has_skill_md,top_canonical_class,top_canonical_class_count
category4_surface_mentions/gnekt__My-Brain-Is-Full-Crew,gnekt__My-Brain-Is-Full-Crew,category4_surface_mentions,https://github.com/gnekt/My-Brain-Is-Full-Crew.git,3000,301,False,License,2026-04-12T21:26:56+02:00,14,0-30d,16,0,10,14,2,0,31,28,1,1,4,True,agent_role_or_goal_manipulation,6
category4_surface_mentions/gosom__google-maps-scraper,gosom__google-maps-scraper,category4_surface_mentions,https://github.com/gosom/google-maps-scraper.git,3800,546,False,MIT,2026-04-19T18:59:55+03:00,7,0-30d,1,0,0,1,0,0,2,1,0,0,2,True,remote_fetch_or_install_expands_trust_boundary,1
category4_surface_mentions/greensock__gsap-skills,greensock__gsap-skills,category4_surface_mentions,https://github.com/greensock/gsap-skills.git,2900,174,False,MIT,2026-03-23T12:07:33-05:00,34,31-90d,4,0,1,4,0,0,15,8,2,0,3,True,prompt_or_instruction_override_surface,1
category4_surface_mentions/gsd-build__gsd-2,gsd-build__gsd-2,category4_surface_mentions,https://github.com/gsd-build/gsd-2.git,6700,686,False,MIT,2026-04-20T21:39:00-05:00,6,0-30d,14,0,1,14,0,0,38,38,0,0,2,True,credential_or_pii_exposure_surface,1
category4_surface_mentions/hashicorp__terraform-mcp-server,hashicorp__terraform-mcp-server,category4_surface_mentions,https://github.com/hashicorp/terraform-mcp-server.git,1300,149,False,MPL-2.0,2026-04-20T15:04:24-06:00,6,0-30d,0,0,0,0,0,0,0,0,0,0,0,False,,
category4_surface_mentions/heilcheng__awesome-agent-skills,heilcheng__awesome-agent-skills,category4_surface_mentions,https://github.com/heilcheng/awesome-agent-skills.git,4300,413,False,MIT,2026-04-06T04:39:21+08:00,21,0-30d,0,0,0,0,0,0,0,0,0,0,0,False,,
category4_surface_mentions/hesreallyhim__awesome-claude-code,hesreallyhim__awesome-claude-code,category4_surface_mentions,https://github.com/hesreallyhim/awesome-claude-code.git,41400,3500,False,License,2026-04-21T04:08:10+00:00,6,0-30d,1,0,0,1,0,0,23,0,0,0,1,False,agent_role_or_goal_manipulation,1
category4_surface_mentions/hexiecs__talk-normal,hexiecs__talk-normal,category4_surface_mentions,https://github.com/hexiecs/talk-normal.git,1500,52,False,MIT,2026-04-14T22:25:13-10:00,12,0-30d,0,0,0,0,0,0,2,2,0,0,2,True,,
category4_surface_mentions/heyitsnoah__claudesidian,heyitsnoah__claudesidian,category4_surface_mentions,https://github.com/heyitsnoah/claudesidian.git,2300,177,False,MIT,2026-04-11T18:44:27-04:00,15,0-30d,13,0,2,12,1,0,20,20,0,0,2,True,unsafe_command_or_execution_surface,2
category4_surface_mentions/hmans__beans,hmans__beans,category4_surface_mentions,https://github.com/hmans/beans.git,720,47,False,Apache-2.0,2026-04-06T14:41:53+02:00,20,0-30d,0,0,0,0,0,0,3,1,1,0,3,True,,
