repo_key,repo_name,repo_path,origin_url,github_owner,github_repo,html_metadata_ok,stars,forks,archived,license,last_commit_at,first_commit_at,commit_count,days_since_last_commit,repo_age_days,stale_bucket,recently_active_90d
category1_top_instruction_repos/yangshun__tech-interview-handbook,yangshun__tech-interview-handbook,../agent-instruction-corpus/clones/category1_top_instruction_repos/yangshun__tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook.git,yangshun,tech-interview-handbook,True,139000,16500,False,MIT,2026-04-06T07:58:25+08:00,2026-04-06T07:58:25+08:00,1,21,21,0-30d,True
category2_agent_tooling/Aider-AI__aider,Aider-AI__aider,../agent-instruction-corpus/clones/category2_agent_tooling/Aider-AI__aider,https://github.com/Aider-AI/aider.git,Aider-AI,aider,True,44000,4300,False,Apache-2.0,2026-04-08T22:07:19-07:00,2026-04-08T22:07:19-07:00,1,18,18,0-30d,True
category2_agent_tooling/BerriAI__litellm,BerriAI__litellm,../agent-instruction-corpus/clones/category2_agent_tooling/BerriAI__litellm,https://github.com/BerriAI/litellm.git,BerriAI,litellm,True,44900,7600,False,License,2026-04-20T08:48:21-07:00,2026-04-20T08:48:21-07:00,1,6,6,0-30d,True
category2_agent_tooling/OpenBMB__AgentVerse,OpenBMB__AgentVerse,../agent-instruction-corpus/clones/category2_agent_tooling/OpenBMB__AgentVerse,https://github.com/OpenBMB/AgentVerse.git,OpenBMB,AgentVerse,True,5000,502,False,Apache-2.0,2024-09-09T13:47:39+08:00,2024-09-09T13:47:39+08:00,1,595,595,365d+,False
category2_agent_tooling/OpenHands__OpenHands,OpenHands__OpenHands,../agent-instruction-corpus/clones/category2_agent_tooling/OpenHands__OpenHands,https://github.com/OpenHands/OpenHands.git,OpenHands,OpenHands,True,72100,9100,False,License,2026-04-20T12:16:01-04:00,2026-04-20T12:16:01-04:00,1,6,6,0-30d,True
category2_agent_tooling/Significant-Gravitas__AutoGPT,Significant-Gravitas__AutoGPT,../agent-instruction-corpus/clones/category2_agent_tooling/Significant-Gravitas__AutoGPT,https://github.com/Significant-Gravitas/AutoGPT.git,Significant-Gravitas,AutoGPT,True,184000,46200,False,License,2026-04-17T15:22:10+00:00,2026-04-17T15:22:10+00:00,1,9,9,0-30d,True
category2_agent_tooling/aaif-goose__goose,aaif-goose__goose,../agent-instruction-corpus/clones/category2_agent_tooling/aaif-goose__goose,https://github.com/aaif-goose/goose.git,aaif-goose,goose,True,43400,4400,False,Apache-2.0,2026-04-20T14:45:24+00:00,2026-04-20T14:45:24+00:00,1,6,6,0-30d,True
category2_agent_tooling/ag2ai__ag2,ag2ai__ag2,../agent-instruction-corpus/clones/category2_agent_tooling/ag2ai__ag2,https://github.com/ag2ai/ag2.git,ag2ai,ag2,True,4400,594,False,Apache-2.0,2026-04-20T11:50:07+10:00,2026-04-20T11:50:07+10:00,1,7,7,0-30d,True
category2_agent_tooling/anomalyco__opencode,anomalyco__opencode,../agent-instruction-corpus/clones/category2_agent_tooling/anomalyco__opencode,https://github.com/anomalyco/opencode.git,anomalyco,opencode,True,150000,17300,False,MIT,2026-04-20T15:59:40+00:00,2026-04-20T15:59:40+00:00,1,6,6,0-30d,True
category2_agent_tooling/anthropics__claude-code,anthropics__claude-code,../agent-instruction-corpus/clones/category2_agent_tooling/anthropics__claude-code,https://github.com/anthropics/claude-code.git,anthropics,claude-code,True,118000,19700,False,License,2026-04-18T01:34:25+00:00,2026-04-18T01:34:25+00:00,1,9,9,0-30d,True
