repo_key,repo_name,repo_path,origin_url,github_owner,github_repo,html_metadata_ok,stars,forks,archived,license,last_commit_at,first_commit_at,commit_count,days_since_last_commit,repo_age_days,stale_bucket,recently_active_90d
category2_agent_tooling/browser-use__browser-use,browser-use__browser-use,../agent-instruction-corpus/clones/category2_agent_tooling/browser-use__browser-use,https://github.com/browser-use/browser-use.git,browser-use,browser-use,True,90600,10300,False,MIT,2026-04-15T18:38:48-04:00,2026-04-15T18:38:48-04:00,1,11,11,0-30d,True
category2_agent_tooling/camel-ai__camel,camel-ai__camel,../agent-instruction-corpus/clones/category2_agent_tooling/camel-ai__camel,https://github.com/camel-ai/camel.git,camel-ai,camel,True,16800,1900,False,Apache-2.0,2026-04-19T21:19:54+08:00,2026-04-19T21:19:54+08:00,1,7,7,0-30d,True
category2_agent_tooling/continuedev__continue,continuedev__continue,../agent-instruction-corpus/clones/category2_agent_tooling/continuedev__continue,https://github.com/continuedev/continue.git,continuedev,continue,True,32800,4400,False,Apache-2.0,2026-04-16T20:27:48-07:00,2026-04-16T20:27:48-07:00,1,10,10,0-30d,True
category2_agent_tooling/crewAIInc__crewAI,crewAIInc__crewAI,../agent-instruction-corpus/clones/category2_agent_tooling/crewAIInc__crewAI,https://github.com/crewAIInc/crewAI.git,crewAIInc,crewAI,True,50000,6900,False,MIT,2026-04-21T00:01:55+08:00,2026-04-21T00:01:55+08:00,1,6,6,0-30d,True
category2_agent_tooling/huggingface__smolagents,huggingface__smolagents,../agent-instruction-corpus/clones/category2_agent_tooling/huggingface__smolagents,https://github.com/huggingface/smolagents.git,huggingface,smolagents,True,26900,2500,False,Apache-2.0,2026-04-15T12:16:33+02:00,2026-04-15T12:16:33+02:00,1,11,11,0-30d,True
category2_agent_tooling/langchain-ai__langchain,langchain-ai__langchain,../agent-instruction-corpus/clones/category2_agent_tooling/langchain-ai__langchain,https://github.com/langchain-ai/langchain.git,langchain-ai,langchain,True,135000,22300,False,MIT,2026-04-19T11:06:26-04:00,2026-04-19T11:06:26-04:00,1,7,7,0-30d,True
category2_agent_tooling/langchain-ai__langgraph,langchain-ai__langgraph,../agent-instruction-corpus/clones/category2_agent_tooling/langchain-ai__langgraph,https://github.com/langchain-ai/langgraph.git,langchain-ai,langgraph,True,30500,5200,False,MIT,2026-04-17T16:54:16-04:00,2026-04-17T16:54:16-04:00,1,9,9,0-30d,True
category2_agent_tooling/lastmile-ai__mcp-agent,lastmile-ai__mcp-agent,../agent-instruction-corpus/clones/category2_agent_tooling/lastmile-ai__mcp-agent,https://github.com/lastmile-ai/mcp-agent.git,lastmile-ai,mcp-agent,True,8300,830,False,Apache-2.0,2026-01-25T11:35:15-05:00,2026-01-25T11:35:15-05:00,1,91,91,91-180d,False
category2_agent_tooling/mem0ai__mem0,mem0ai__mem0,../agent-instruction-corpus/clones/category2_agent_tooling/mem0ai__mem0,https://github.com/mem0ai/mem0.git,mem0ai,mem0,True,54200,6100,False,Apache-2.0,2026-04-20T21:54:02+05:30,2026-04-20T21:54:02+05:30,1,6,6,0-30d,True
category2_agent_tooling/microsoft__TaskWeaver,microsoft__TaskWeaver,../agent-instruction-corpus/clones/category2_agent_tooling/microsoft__TaskWeaver,https://github.com/microsoft/TaskWeaver.git,microsoft,TaskWeaver,True,6200,774,False,MIT,2026-03-23T14:16:00+08:00,2026-03-23T14:16:00+08:00,1,35,35,31-90d,True
