repo_key,category,repo_slug,repo_name,origin_url,github_owner,github_repo
category3_custom_agents_instructions_skills/jaktestowac__awesome-copilot-for-testers,category3_custom_agents_instructions_skills,jaktestowac__awesome-copilot-for-testers,jaktestowac__awesome-copilot-for-testers,https://github.com/jaktestowac/awesome-copilot-for-testers.git,jaktestowac,awesome-copilot-for-testers
category3_custom_agents_instructions_skills/karanb192__awesome-claude-skills,category3_custom_agents_instructions_skills,karanb192__awesome-claude-skills,karanb192__awesome-claude-skills,https://github.com/karanb192/awesome-claude-skills.git,karanb192,awesome-claude-skills
category3_custom_agents_instructions_skills/kodustech__awesome-agent-skills,category3_custom_agents_instructions_skills,kodustech__awesome-agent-skills,kodustech__awesome-agent-skills,https://github.com/kodustech/awesome-agent-skills.git,kodustech,awesome-agent-skills
category3_custom_agents_instructions_skills/langchain-ai__langchain-academy,category3_custom_agents_instructions_skills,langchain-ai__langchain-academy,langchain-ai__langchain-academy,https://github.com/langchain-ai/langchain-academy.git,langchain-ai,langchain-academy
category3_custom_agents_instructions_skills/lichihho__awesome-claude-skills,category3_custom_agents_instructions_skills,lichihho__awesome-claude-skills,lichihho__awesome-claude-skills,https://github.com/lichihho/awesome-claude-skills.git,lichihho,awesome-claude-skills
category3_custom_agents_instructions_skills/microsoft__copilot-camp,category3_custom_agents_instructions_skills,microsoft__copilot-camp,microsoft__copilot-camp,https://github.com/microsoft/copilot-camp.git,microsoft,copilot-camp
category3_custom_agents_instructions_skills/microsoft__prompt-engine,category3_custom_agents_instructions_skills,microsoft__prompt-engine,microsoft__prompt-engine,https://github.com/microsoft/prompt-engine.git,microsoft,prompt-engine
category3_custom_agents_instructions_skills/msitarzewski__agency-agents,category3_custom_agents_instructions_skills,msitarzewski__agency-agents,msitarzewski__agency-agents,https://github.com/msitarzewski/agency-agents.git,msitarzewski,agency-agents
category3_custom_agents_instructions_skills/openai__openai-cookbook,category3_custom_agents_instructions_skills,openai__openai-cookbook,openai__openai-cookbook,https://github.com/openai/openai-cookbook.git,openai,openai-cookbook
category3_custom_agents_instructions_skills/punkpeye__awesome-mcp-servers,category3_custom_agents_instructions_skills,punkpeye__awesome-mcp-servers,punkpeye__awesome-mcp-servers,https://github.com/punkpeye/awesome-mcp-servers.git,punkpeye,awesome-mcp-servers
category3_custom_agents_instructions_skills/secondsky__claude-skills,category3_custom_agents_instructions_skills,secondsky__claude-skills,secondsky__claude-skills,https://github.com/secondsky/claude-skills.git,secondsky,claude-skills
category3_custom_agents_instructions_skills/skillcreatorai__Awesome-Agent-Skills,category3_custom_agents_instructions_skills,skillcreatorai__Awesome-Agent-Skills,skillcreatorai__Awesome-Agent-Skills,https://github.com/skillcreatorai/Awesome-Agent-Skills.git,skillcreatorai,Awesome-Agent-Skills
category4_surface_mentions/1st1__lat.md,category4_surface_mentions,1st1__lat.md,1st1__lat.md,https://github.com/1st1/lat.md.git,1st1,lat.md
category4_surface_mentions/2025Emma__vibe-coding-cn,category4_surface_mentions,2025Emma__vibe-coding-cn,2025Emma__vibe-coding-cn,https://github.com/2025Emma/vibe-coding-cn.git,2025Emma,vibe-coding-cn
category4_surface_mentions/21st-dev__1code,category4_surface_mentions,21st-dev__1code,21st-dev__1code,https://github.com/21st-dev/1code.git,21st-dev,1code
category4_surface_mentions/Aaronontheweb__dotnet-skills,category4_surface_mentions,Aaronontheweb__dotnet-skills,Aaronontheweb__dotnet-skills,https://github.com/Aaronontheweb/dotnet-skills.git,Aaronontheweb,dotnet-skills
category4_surface_mentions/AgriciDaniel__claude-obsidian,category4_surface_mentions,AgriciDaniel__claude-obsidian,AgriciDaniel__claude-obsidian,https://github.com/AgriciDaniel/claude-obsidian.git,AgriciDaniel,claude-obsidian
category4_surface_mentions/Alex-Rachel__TEngine,category4_surface_mentions,Alex-Rachel__TEngine,Alex-Rachel__TEngine,https://github.com/Alex-Rachel/TEngine.git,Alex-Rachel,TEngine
category4_surface_mentions/AlexAnys__awesome-openclaw-usecases-zh,category4_surface_mentions,AlexAnys__awesome-openclaw-usecases-zh,AlexAnys__awesome-openclaw-usecases-zh,https://github.com/AlexAnys/awesome-openclaw-usecases-zh.git,AlexAnys,awesome-openclaw-usecases-zh
category4_surface_mentions/AlexsJones__llmfit,category4_surface_mentions,AlexsJones__llmfit,AlexsJones__llmfit,https://github.com/AlexsJones/llmfit.git,AlexsJones,llmfit
category4_surface_mentions/Arthur-Ficial__apfel,category4_surface_mentions,Arthur-Ficial__apfel,Arthur-Ficial__apfel,https://github.com/Arthur-Ficial/apfel.git,Arthur-Ficial,apfel
category4_surface_mentions/AvdLee__SwiftUI-Agent-Skill,category4_surface_mentions,AvdLee__SwiftUI-Agent-Skill,AvdLee__SwiftUI-Agent-Skill,https://github.com/AvdLee/SwiftUI-Agent-Skill.git,AvdLee,SwiftUI-Agent-Skill
category4_surface_mentions/Azure__azure-sdk-for-go,category4_surface_mentions,Azure__azure-sdk-for-go,Azure__azure-sdk-for-go,https://github.com/Azure/azure-sdk-for-go.git,Azure,azure-sdk-for-go
category4_surface_mentions/Azure__azure-sdk-for-net,category4_surface_mentions,Azure__azure-sdk-for-net,Azure__azure-sdk-for-net,https://github.com/Azure/azure-sdk-for-net.git,Azure,azure-sdk-for-net
category4_surface_mentions/Azure__azure-sdk-for-rust,category4_surface_mentions,Azure__azure-sdk-for-rust,Azure__azure-sdk-for-rust,https://github.com/Azure/azure-sdk-for-rust.git,Azure,azure-sdk-for-rust
category4_surface_mentions/BayramAnnakov__claude-reflect,category4_surface_mentions,BayramAnnakov__claude-reflect,BayramAnnakov__claude-reflect,https://github.com/BayramAnnakov/claude-reflect.git,BayramAnnakov,claude-reflect
category4_surface_mentions/BehiSecc__awesome-claude-skills,category4_surface_mentions,BehiSecc__awesome-claude-skills,BehiSecc__awesome-claude-skills,https://github.com/BehiSecc/awesome-claude-skills.git,BehiSecc,awesome-claude-skills
category4_surface_mentions/Besty0728__Unity-Skills,category4_surface_mentions,Besty0728__Unity-Skills,Besty0728__Unity-Skills,https://github.com/Besty0728/Unity-Skills.git,Besty0728,Unity-Skills
category4_surface_mentions/ChrisWiles__claude-code-showcase,category4_surface_mentions,ChrisWiles__claude-code-showcase,ChrisWiles__claude-code-showcase,https://github.com/ChrisWiles/claude-code-showcase.git,ChrisWiles,claude-code-showcase
category4_surface_mentions/ClaytonFarr__ralph-playbook,category4_surface_mentions,ClaytonFarr__ralph-playbook,ClaytonFarr__ralph-playbook,https://github.com/ClaytonFarr/ralph-playbook.git,ClaytonFarr,ralph-playbook
category4_surface_mentions/ClickHouse__clickhouse-go,category4_surface_mentions,ClickHouse__clickhouse-go,ClickHouse__clickhouse-go,https://github.com/ClickHouse/clickhouse-go.git,ClickHouse,clickhouse-go
category4_surface_mentions/CloudAI-X__claude-workflow-v2,category4_surface_mentions,CloudAI-X__claude-workflow-v2,CloudAI-X__claude-workflow-v2,https://github.com/CloudAI-X/claude-workflow-v2.git,CloudAI-X,claude-workflow-v2
category4_surface_mentions/CoderLuii__HolyClaude,category4_surface_mentions,CoderLuii__HolyClaude,CoderLuii__HolyClaude,https://github.com/CoderLuii/HolyClaude.git,CoderLuii,HolyClaude
category4_surface_mentions/CortexReach__memory-lancedb-pro,category4_surface_mentions,CortexReach__memory-lancedb-pro,CortexReach__memory-lancedb-pro,https://github.com/CortexReach/memory-lancedb-pro.git,CortexReach,memory-lancedb-pro
category4_surface_mentions/Cranot__claude-code-guide,category4_surface_mentions,Cranot__claude-code-guide,Cranot__claude-code-guide,https://github.com/Cranot/claude-code-guide.git,Cranot,claude-code-guide
category4_surface_mentions/Datus-ai__Datus-agent,category4_surface_mentions,Datus-ai__Datus-agent,Datus-ai__Datus-agent,https://github.com/Datus-ai/Datus-agent.git,Datus-ai,Datus-agent
category4_surface_mentions/DeusData__codebase-memory-mcp,category4_surface_mentions,DeusData__codebase-memory-mcp,DeusData__codebase-memory-mcp,https://github.com/DeusData/codebase-memory-mcp.git,DeusData,codebase-memory-mcp
category4_surface_mentions/Dicklesworthstone__agentic_coding_flywheel_setup,category4_surface_mentions,Dicklesworthstone__agentic_coding_flywheel_setup,Dicklesworthstone__agentic_coding_flywheel_setup,https://github.com/Dicklesworthstone/agentic_coding_flywheel_setup.git,Dicklesworthstone,agentic_coding_flywheel_setup
category4_surface_mentions/Dicklesworthstone__beads_viewer,category4_surface_mentions,Dicklesworthstone__beads_viewer,Dicklesworthstone__beads_viewer,https://github.com/Dicklesworthstone/beads_viewer.git,Dicklesworthstone,beads_viewer
category4_surface_mentions/Dicklesworthstone__destructive_command_guard,category4_surface_mentions,Dicklesworthstone__destructive_command_guard,Dicklesworthstone__destructive_command_guard,https://github.com/Dicklesworthstone/destructive_command_guard.git,Dicklesworthstone,destructive_command_guard
category4_surface_mentions/Dicklesworthstone__mcp_agent_mail,category4_surface_mentions,Dicklesworthstone__mcp_agent_mail,Dicklesworthstone__mcp_agent_mail,https://github.com/Dicklesworthstone/mcp_agent_mail.git,Dicklesworthstone,mcp_agent_mail
category4_surface_mentions/Donchitos__Claude-Code-Game-Studios,category4_surface_mentions,Donchitos__Claude-Code-Game-Studios,Donchitos__Claude-Code-Game-Studios,https://github.com/Donchitos/Claude-Code-Game-Studios.git,Donchitos,Claude-Code-Game-Studios
category4_surface_mentions/Ed1s0nZ__CyberStrikeAI,category4_surface_mentions,Ed1s0nZ__CyberStrikeAI,Ed1s0nZ__CyberStrikeAI,https://github.com/Ed1s0nZ/CyberStrikeAI.git,Ed1s0nZ,CyberStrikeAI
category4_surface_mentions/EnzeD__vibe-coding,category4_surface_mentions,EnzeD__vibe-coding,EnzeD__vibe-coding,https://github.com/EnzeD/vibe-coding.git,EnzeD,vibe-coding
category4_surface_mentions/Exa-Networks__exabgp,category4_surface_mentions,Exa-Networks__exabgp,Exa-Networks__exabgp,https://github.com/Exa-Networks/exabgp.git,Exa-Networks,exabgp
category4_surface_mentions/FlorianBruniaux__claude-code-ultimate-guide,category4_surface_mentions,FlorianBruniaux__claude-code-ultimate-guide,FlorianBruniaux__claude-code-ultimate-guide,https://github.com/FlorianBruniaux/claude-code-ultimate-guide.git,FlorianBruniaux,claude-code-ultimate-guide
category4_surface_mentions/FreshRSS__FreshRSS,category4_surface_mentions,FreshRSS__FreshRSS,FreshRSS__FreshRSS,https://github.com/FreshRSS/FreshRSS.git,FreshRSS,FreshRSS
category4_surface_mentions/GSManagerXZ__GameServerManager,category4_surface_mentions,GSManagerXZ__GameServerManager,GSManagerXZ__GameServerManager,https://github.com/GSManagerXZ/GameServerManager.git,GSManagerXZ,GameServerManager
category4_surface_mentions/Galaxy-Dawn__claude-scholar,category4_surface_mentions,Galaxy-Dawn__claude-scholar,Galaxy-Dawn__claude-scholar,https://github.com/Galaxy-Dawn/claude-scholar.git,Galaxy-Dawn,claude-scholar
category4_surface_mentions/Gentleman-Programming__gentleman-guardian-angel,category4_surface_mentions,Gentleman-Programming__gentleman-guardian-angel,Gentleman-Programming__gentleman-guardian-angel,https://github.com/Gentleman-Programming/gentleman-guardian-angel.git,Gentleman-Programming,gentleman-guardian-angel
category4_surface_mentions/GetStream__stream-chat-react,category4_surface_mentions,GetStream__stream-chat-react,GetStream__stream-chat-react,https://github.com/GetStream/stream-chat-react.git,GetStream,stream-chat-react
category4_surface_mentions/GitHubDaily__GitHubDaily,category4_surface_mentions,GitHubDaily__GitHubDaily,GitHubDaily__GitHubDaily,https://github.com/GitHubDaily/GitHubDaily.git,GitHubDaily,GitHubDaily
category4_surface_mentions/GreenSheep01201__claw-empire,category4_surface_mentions,GreenSheep01201__claw-empire,GreenSheep01201__claw-empire,https://github.com/GreenSheep01201/claw-empire.git,GreenSheep01201,claw-empire
